games
avg_rating,geek_rating,name,price,rank,voting,year
8.91,8.611,Gloomhaven,140,1,24184,2017
8.91,8.612,Gloomhaven,,1,24206,2017
8.65,8.491,Pandemic Legacy: Season 1,69.99,2,30715,2015
8.65,8.491,Pandemic Legacy: Season 1,,2,30730,2015
8.54,8.258,Through the Ages: A New Story of Civilization,69.95,3,15392,2015
8.54,8.258,Through the Ages: A New Story of Civilization,,3,15404,2015
8.4,8.241,Terraforming Mars,69.95,4,37714,2016
8.4,8.241,Terraforming Mars,,4,37736,2016
8.33,8.175,Twilight Struggle,64.99,5,34100,2005
8.33,8.175,Twilight Struggle,,5,34112,2005
8.45,8.162,Star Wars: Rebellion,99.95,6,16323,2016
8.45,8.162,Star Wars: Rebellion,,6,16327,2016
8.56,8.125,Gaia Project,83.97,7,8919,2017
8.56,8.126,Gaia Project,,7,8940,2017
8.29,8.12,Scythe,90,8,38697,2016
8.29,8.12,Scythe,,8,38726,2016
8.29,8.078,Great Western Trail,69.95,9,18738,2016
8.29,8.078,Great Western Trail,,9,18753,2016
8.73,8.067,Twilight Imperium (Fourth Edition),149.95,10,6331,2017
8.74,8.069,Twilight Imperium (Fourth Edition),,10,6339,2017
8.2,8.05,Terra Mystica,79.99,11,32323,2012
8.2,8.05,Terra Mystica,,11,32329,2012
8.42,8.031,War of the Ring (Second Edition),89.99,12,9667,2012
8.42,8.031,War of the Ring (Second Edition),,12,9673,2012
8.13,8.012,The Castles of Burgundy,41.99,13,36243,2011
8.13,8.012,The Castles of Burgundy,,13,36256,2011
8.13,7.992,7 Wonders Duel,29.99,14,39907,2015
8.13,7.991,7 Wonders Duel,,14,39930,2015
8.38,7.991,Spirit Island,79.95,15,10314,2017
8.38,7.991,Spirit Island,,15,10347,2017
8.62,7.978,Brass: Birmingham,59,16,5203,2018
8.62,7.98,Brass: Birmingham,,16,5218,2018
8.43,7.941,The 7th Continent,,17,8762,2017
8.43,7.942,The 7th Continent,,17,8766,2017
8.14,7.927,Viticulture Essential Edition,60,18,17058,2015
8.14,7.927,Viticulture Essential Edition,,18,17068,2015
8.1,7.926,Concordia,64.99,19,19487,2013
8.1,7.926,Concordia,,19,19504,2013
8.04,7.923,Puerto Rico,44.99,20,56057,2002
8.04,7.923,Puerto Rico,,20,56067,2002
8.23,7.921,Arkham Horror: The Card Game,39.95,21,17036,2016
8.23,7.921,Arkham Horror: The Card Game,,21,17047,2016
8.07,7.909,Caverna: The Cave Farmers,97,22,23429,2013
8.07,7.909,Caverna: The Cave Farmers,,22,23433,2013
8.12,7.908,Brass: Lancashire,59.99,23,14830,2007
8.12,7.908,Brass: Lancashire,,23,14833,2007
8.1,7.894,Mage Knight Board Game,124.99,24,23306,2011
8.1,7.894,Mage Knight Board Game,,24,23311,2011
7.99,7.889,Agricola,79.71,25,56651,2007
7.99,7.889,Agricola,,25,56653,2007
8.16,7.878,Mansions of Madness: Second Edition,99.95,26,16223,2016
8.16,7.878,Mansions of Madness: Second Edition,,26,16230,2016
8.08,7.875,Orléans,59.99,27,15618,2014
8.08,7.875,Orléans,,27,15634,2014
8.18,7.857,A Feast for Odin,99.99,28,10873,2016
8.18,7.857,A Feast for Odin,,28,10880,2016
8.18,7.85,Food Chain Magnate,,29,9477,2015
8.18,7.851,Food Chain Magnate,,29,9486,2015
8.03,7.85,Blood Rage,79.99,30,25195,2015
8.03,7.85,Blood Rage,,30,25209,2015
8.13,7.816,Mechs vs. Minions,,31,11020,2016
8.14,7.817,Mechs vs. Minions,,31,11025,2016
8.27,7.81,Pandemic Legacy: Season 2,79.99,32,6971,2017
8.81,7.81,Kingdom Death: Monster,,32,5769,2015
8.81,7.809,Kingdom Death: Monster,,33,5769,2015
8.26,7.81,Pandemic Legacy: Season 2,,33,6981,2017
8.08,7.807,Star Wars: Imperial Assault,99.99,34,16409,2014
8.08,7.807,Star Wars: Imperial Assault,,34,16411,2014
7.99,7.803,Through the Ages: A Story of Civilization,69.99,35,16842,2006
7.99,7.803,Through the Ages: A Story of Civilization,,35,16843,2006
7.89,7.802,Power Grid,44.99,36,49624,2004
7.89,7.801,Power Grid,,36,49631,2004
7.94,7.785,Azul,39.99,37,26641,2017
7.94,7.785,Azul,,37,26697,2017
7.93,7.778,Tzolk'in: The Mayan Calendar,59.95,38,24217,2012
7.93,7.778,Tzolk'in: The Mayan Calendar,,38,24224,2012
7.95,7.777,Eclipse,99,39,23897,2011
7.95,7.777,Eclipse,,39,23900,2011
7.89,7.754,Le Havre,70,40,22935,2008
7.89,7.755,Le Havre,,40,22938,2008
7.91,7.745,Robinson Crusoe: Adventures on the Cursed Island,65,41,26436,2012
7.91,7.745,Robinson Crusoe: Adventures on the Cursed Island,,41,26441,2012
7.94,7.731,The Voyages of Marco Polo,59.99,42,15207,2015
7.94,7.731,The Voyages of Marco Polo,,42,15216,2015
8.07,7.71,Clans of Caledonia,69.99,43,8695,2017
7.9,7.71,Android: Netrunner,,43,24176,2012
7.9,7.71,Android: Netrunner,39.95,44,24174,2012
8.07,7.71,Clans of Caledonia,,44,8703,2017
7.78,7.691,7 Wonders,49.99,45,68267,2010
7.78,7.691,7 Wonders,,45,68283,2010
7.86,7.676,Keyflower,,46,15767,2012
7.86,7.676,Keyflower,,46,15771,2012
7.76,7.663,Race for the Galaxy,34.99,47,40333,2007
7.76,7.664,Race for the Galaxy,,47,40340,2007
7.81,7.662,Caylus,54.99,48,24531,2005
7.81,7.663,Caylus,,48,24539,2005
7.85,7.659,Dominant Species,79.99,49,15576,2010
7.85,7.659,Dominant Species,,49,15580,2010
8.14,7.648,Fields of Arle,79.99,50,5680,2014
8.14,7.648,Fields of Arle,,50,5682,2014
7.77,7.647,Lords of Waterdeep,49.99,51,38217,2012
7.77,7.647,Lords of Waterdeep,,51,38223,2012
8.12,7.644,Anachrony,65,52,6699,2017
8.12,7.643,Anachrony,,52,6709,2017
8.02,7.642,Rising Sun,99.99,53,10262,2018
8.02,7.642,Rising Sun,,53,10279,2018
7.87,7.641,Twilight Imperium (Third Edition),89.95,54,17179,2005
7.87,7.642,Twilight Imperium (Third Edition),,54,17182,2005
7.78,7.64,Five Tribes,59.99,55,25404,2014
7.78,7.64,Five Tribes,,55,25411,2014
7.86,7.634,Eldritch Horror,59.99,56,23366,2013
7.86,7.634,Eldritch Horror,,56,23373,2013
7.78,7.629,El Grande,99.99,57,21103,1995
7.78,7.629,El Grande,,57,21107,1995
7.72,7.628,Codenames,19.95,58,50174,2015
7.72,7.627,Codenames,,58,50204,2015
7.82,7.614,Clank!: A Deck-Building Adventure,60,59,16622,2016
8.09,7.614,Root,,59,6601,2018
8.1,7.614,Root,60,60,6575,2018
7.82,7.614,Clank!: A Deck-Building Adventure,,60,16633,2016
7.74,7.61,Dominion: Intrigue,39.95,61,26934,2009
7.74,7.61,Dominion: Intrigue,,61,26935,2009
7.72,7.604,Patchwork,27.99,62,32953,2014
7.72,7.604,Patchwork,,62,32969,2014
8.02,7.6,The Gallerist,79.99,63,6636,2015
8.02,7.6,The Gallerist,,63,6639,2015
7.93,7.597,Mombasa,44.99,64,8488,2015
7.93,7.596,Mombasa,,64,8493,2015
7.74,7.592,Battlestar Galactica: The Board Game,49.95,65,29631,2008
7.74,7.592,Battlestar Galactica: The Board Game,,65,29635,2008
7.73,7.587,Roll for the Galaxy,,66,21177,2014
7.73,7.587,Roll for the Galaxy,,66,21181,2014
7.8,7.58,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,49.99,67,13330,1981
7.8,7.58,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,,67,13337,1981
7.77,7.577,T.I.M.E Stories,49.99,68,18738,2015
7.77,7.577,T.I.M.E Stories,,68,18746,2015
7.76,7.574,Troyes,59.99,69,14959,2010
7.76,7.574,Troyes,,69,14967,2010
7.79,7.565,Russian Railroads,,70,12027,2013
7.79,7.565,Russian Railroads,,70,12029,2013
7.71,7.56,Tigris & Euphrates,59.95,71,23001,1997
7.71,7.56,Tigris & Euphrates,,71,23003,1997
7.78,7.554,Trajan,70,72,12442,2011
7.78,7.554,Trajan,,72,12445,2011
7.77,7.552,Star Wars: X-Wing Miniatures Game,39.99,73,20658,2012
7.77,7.552,Star Wars: X-Wing Miniatures Game,,73,20658,2012
7.64,7.547,Pandemic,39.99,74,82354,2008
7.64,7.547,Pandemic,,74,82383,2008
7.65,7.545,Dominion,44.95,75,67710,2008
7.65,7.545,Dominion,,75,67715,2008
7.69,7.541,Dead of Winter: A Crossroads Game,59.99,76,32436,2014
8.17,7.545,Wingspan,,76,4783,2019
8.16,7.539,Wingspan,55,77,4708,2019
